OBJECTID,ZO_ZONE,ZO_ORDINANCE,ZO_SPEC_CODE,ZO_PROJ_NUM,ZO_UPDATE_NUM,ZO_ZONE_DATE,ZO_ZONE_ORD,ZO_MAINT_TASK_ID,ZO_GIS_START_DATE,ZO_GIS_END_DATE,ZO_UPD_DATE,SHAPE_Length,SHAPE_Area,NEW_ID,ZD_ZONE_NAME,ZD_ZONE_DESC,agstype
309,IP,2023,NV,ZRTD-2013-0003, ,2014/12/10 05:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,3019.887534,455639.2153,309,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
310,IP,2023,NV,ZRTD-2014-0003, ,2015/02/11 05:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,2238.244954,294649.4817,310,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
311,GI,2023,NV, , ,1900/01/01 05:00:00+00,GI 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,1078.815558,54248.79976,311,General Industry,District for industrial uses that are incompatible with residential uses due to the prevelance of outdoor storage and emissions of noise and odor. ,GI
312,OP,2023,NV,ZMAP-2009-0006,186,2010/09/13 04:00:00+00,OP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,3581.433368,165192.7727,312,Office Park,"District for administrative, business and professional offices research and development, and supporting commercial and instibutional uses and facilities; support limited first floor retail.",OP
313,MRHI,2023,NV,ZMAP-2009-0003,194,2011/01/04 05:00:00+00,MRHI  2023,2020_0006,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,17156.83156,11694942.9,313,Mineral Resource/Heavy Industry,Diabase resource extraction operations (quarries) co-located with compatible heavy industrial uses. Specific use limitations for stone quarry operations. Also recognized for future beneficial uses consistent with the General Plan.,MRHI
314,MRHI,2023,NV,ZMAP-2009-0004,,2011/01/04 05:00:00+00,MRHI  2023,2020_0006,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,13382.07558,3842318.416,314,Mineral Resource/Heavy Industry,Diabase resource extraction operations (quarries) co-located with compatible heavy industrial uses. Specific use limitations for stone quarry operations. Also recognized for future beneficial uses consistent with the General Plan.,MRHI
315,TOWNS,2023,NV,NO VALUE,NO VALUE,1900/01/01 05:00:00+00,TOWNS 2023,2017_0011,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,32643.6059,28951209.61,315,Incorporated Towns,Districts zoned by the incorporated town and administered by the town.,TOWNS
316,PDH6,2023,NV,ZMAP-2005-0008,NO VALUE,2007/01/16 05:00:00+00,PDH6  2023,2021_0019,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,15977.76762,5971673.778,316,Planned Development Housing-6,Mixed use residential communities including single family and multifamily housing products with supportive non-residential uses. Maximum overall residential density of 6 units per acre.,PDH6
317,CLI,2023,NV,ZMAP-2013-0010,NO VALUE,2015/02/18 05:00:00+00,CLI  2023,2017_0054,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,1077.036482,43725.1372,317,Commercial/Light Industry,"Mix of similar and compatible light industrial uses and office uses and related supportive commercial, retail and service  uses on minimum one acre lots. Only along Route 50 from Fairfax/Loudoun County line west to Route 659.",CLI
318,R16,2023,NV,ZMAP-2013-0010,NO VALUE,2015/02/18 05:00:00+00,R16  2023,2015_0018,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,2835.111153,317944.1913,318,Townhouse/Multifamily Residential-16,Single family attached/detached and multifamily residences at a maximum density of 16 units per acre; 19.2 units per acre with ADU. Served by public water and sewer. In areas designated for infill development. Traditional design option.,R16
319,PDCCRC,2023,NV,ZMAP-2004-0016,NO VALUE,2007/06/19 04:00:00+00,PDCCRC2023,2021_0018,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2024/05/16 04:00:00+00,8419.173162,3452881.053,319,Planned Development-Commercial Center (Regional Center),"Large scale commercial centers which provide a wide range of retail, office, and service uses, with one or more anchor stores, to the regional market. Minimum of 60 acres with controlled access to arterial roads.",PDCCRC
320,IP,2023,NV, , ,1900/01/01 05:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,1493.927795,129908.6533,320,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
321,CLI,2023,NV,ZMAP-2013-0007,,2007/12/04 05:00:00+00,CLI  2023,ZMAP2013007,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,139.4269107,746.9375785,321,Commercial/Light Industry,"Mix of similar and compatible light industrial uses and office uses and related supportive commercial, retail and service  uses on minimum one acre lots. Only along Route 50 from Fairfax/Loudoun County line west to Route 659.",CLI
322,CCCC,2023,NV,ZMAP-2006-0024,134,2007/12/04 05:00:00+00,CCCC 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,96.59602677,0.397091848,322,Commercial Center - Community Center,"Serves retail shopping needs of surrounding community with 10 minutes drive. Minimum of 4 acres, maximum of 22 acres.",CCCC
323,IP,2023,NV,ZRTD-2014-0002, ,2014/12/10 05:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,3750.370459,635963.1606,323,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
324,PDIP,1972,NV,, ,1900/01/01 05:00:00+00,PDIP  1972,,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,5300.875539,243278.7932,324,Planned Development-Industrial Park,Light and medium industrial uses with supporting accessory uses and facilities designed with a parklike environment. May be subject to a concept development plan.  It is only under the 1972 Ordinance.,PDIP
325,R16,2023,NV,ZMAP-2013-0009, ,2014/12/03 05:00:00+00,R16  2023,21030009,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,1530.99664,144911.1098,325,Townhouse/Multifamily Residential-16,Single family attached/detached and multifamily residences at a maximum density of 16 units per acre; 19.2 units per acre with ADU. Served by public water and sewer. In areas designated for infill development. Traditional design option.,R16
326,OP,2023,NV,ZMAP-2012-0016, ,2013/04/03 04:00:00+00,OP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,46.36935699,6.224382057,326,Office Park,"District for administrative, business and professional offices research and development, and supporting commercial and instibutional uses and facilities; support limited first floor retail.",OP
327,OP,2023,NV,ZMAP-2012-0016, ,2013/04/03 04:00:00+00,OP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,34.57993798,2.550994637,327,Office Park,"District for administrative, business and professional offices research and development, and supporting commercial and instibutional uses and facilities; support limited first floor retail.",OP
328,OP,2023,NV,ZMAP-2012-0016, ,2013/04/03 04:00:00+00,OP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,33.32508957,2.284945433,328,Office Park,"District for administrative, business and professional offices research and development, and supporting commercial and instibutional uses and facilities; support limited first floor retail.",OP
329,OP,2023,NV,ZMAP-2012-0016, ,2013/04/03 04:00:00+00,OP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,31.78192492,1.982659765,329,Office Park,"District for administrative, business and professional offices research and development, and supporting commercial and instibutional uses and facilities; support limited first floor retail.",OP
330,OP,2023,NV,ZMAP-2012-0016, ,2013/04/03 04:00:00+00,OP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,30.28559183,1.701820932,330,Office Park,"District for administrative, business and professional offices research and development, and supporting commercial and instibutional uses and facilities; support limited first floor retail.",OP
331,OP,2023,NV,ZMAP-2012-0016, ,2013/04/03 04:00:00+00,OP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,28.69786579,1.450815726,331,Office Park,"District for administrative, business and professional offices research and development, and supporting commercial and instibutional uses and facilities; support limited first floor retail.",OP
332,OP,2023,NV,ZMAP-2012-0016, ,2013/04/03 04:00:00+00,OP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,24.34485958,0.874761615,332,Office Park,"District for administrative, business and professional offices research and development, and supporting commercial and instibutional uses and facilities; support limited first floor retail.",OP
333,OP,2023,NV,ZMAP-2012-0016, ,2013/04/03 04:00:00+00,OP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,21.65339897,0.616050429,333,Office Park,"District for administrative, business and professional offices research and development, and supporting commercial and instibutional uses and facilities; support limited first floor retail.",OP
334,R8,2023,NV,ZMAP-2012-0010,,2013/09/04 04:00:00+00,R8  2023,2014_0006,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,3647.484851,628629.5682,334,Single Family Residential-8,"Moderate to medium density single family detached, duplex, townhouse, and single family attached development with a maximum density of 8 units per acre, 9.6 units per acre with ADU. Served by public water and sewer. Traditional and suburban design options.",R8
335,PDRDP,1972,NV,ZMAP-1993-0001, ,1993/08/04 04:00:00+00,PDRDP 1972,2023_0013,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/04/19 04:00:00+00,33144.57343,12612043.96,335,Planned Development-Research and Development Park,"Planned mixed employment park a mininum of 20 acres in size & within the Rt 28 Tax District, subject to an adopted concept development plan, which allows the mixing of research and development firms, office complexes, certain types of manufacturing and interrelated land uses. This Zoning District is found under the 1972 Zoning Ordinance.",PDRDP
336,IP,2023,NV, , ,1900/01/01 05:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,3534.308847,557013.5955,336,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
337,IP,2023,NV,ZMAP-1986-0046, ,1988/07/18 04:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,708.9358662,21370.49071,337,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
338,R16,2023,NV,ZMAP-2013-0013, ,2014/07/09 04:00:00+00,R16  2023,2014_0006,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,1591.532385,156301.3319,338,Townhouse/Multifamily Residential-16,Single family attached/detached and multifamily residences at a maximum density of 16 units per acre; 19.2 units per acre with ADU. Served by public water and sewer. In areas designated for infill development. Traditional design option.,R16
339,IP,2023,NV,ZMAP-1993-0005,Z2000-0048,1995/11/16 05:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,3973.320798,308382.8307,339,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
