OBJECTID,ZO_ZONE,ZO_ORDINANCE,ZO_SPEC_CODE,ZO_PROJ_NUM,ZO_UPDATE_NUM,ZO_ZONE_DATE,ZO_ZONE_ORD,ZO_MAINT_TASK_ID,ZO_GIS_START_DATE,ZO_GIS_END_DATE,ZO_UPD_DATE,SHAPE_Length,SHAPE_Area,NEW_ID,ZD_ZONE_NAME,ZD_ZONE_DESC,agstype
1,IP,2023,NONE,ZMAP-2022-0024,,2025/02/19 05:00:00+00,IP 2023,2025_0008,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/04/11 04:00:00+00,10903.40805,3646629.967,1,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
2,R16,2023,NV,ZMAP-2023-0007,NO VALUE,2025/02/19 05:00:00+00,R16  2023,2025_0009,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/02/26 05:00:00+00,4145.403527,750856.1024,2,Townhouse/Multifamily Residential-16,Single family attached/detached and multifamily residences at a maximum density of 16 units per acre; 19.2 units per acre with ADU. Served by public water and sewer. In areas designated for infill development. Traditional design option.,R16
3,R16,2023,28,ZMAP-2019-0021,,2025/02/19 05:00:00+00,R16  2023,2025_0007,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/02/25 05:00:00+00,2010.482244,210384.4081,3,Townhouse/Multifamily Residential-16,Single family attached/detached and multifamily residences at a maximum density of 16 units per acre; 19.2 units per acre with ADU. Served by public water and sewer. In areas designated for infill development. Traditional design option.,R16
4,IP,2023,NONE,, ,2023/07/31 04:00:00+00,IP 2023,2025_0006,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/02/25 05:00:00+00,3001.615665,549368.6549,4,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
5,R4,2023,NONE,ZMAP-2020-0008,,2024/11/07 05:00:00+00,R4  2023,2024_0020,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/03/18 04:00:00+00,9355.951295,3056391.222,5,Single Family Residential-4,"Moderate density single family detached development with a maximum density of 1 unit per 10,000 square feet, 4.8 units per acre with ADU. Served by public water and sewer. Cluster, suburban, and traditional design and compact cluster options.",R4
6,JLMA20,2023,NV, , ,1900/01/01 05:00:00+00,JLMA202023,2020_0012,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/02/25 05:00:00+00,27258.24763,2485845.718,6,Joint Land Management Area-20,Rural business and residential uses compatable with Leesburg Executive Airport (no cluster option); 1.0 dwelling unit per 20 acres,JLMA20
7,TOWNS,2023,NV,NO VALUE,NO VALUE,1900/01/01 05:00:00+00,TOWNS 2023,2020_0012,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/01/31 05:00:00+00,127028.1196,370428628.8,7,Incorporated Towns,Districts zoned by the incorporated town and administered by the town.,TOWNS
8,TR3UBF,2023,, , ,1900/01/01 05:00:00+00,TR3UBF2023,2022_0021,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2024/12/04 05:00:00+00,77980.38492,89131473.21,8,Transitional Residential - 3 (Upper Broad Run and Upper Foley),"Sub-district of TR3 without central utilities. Residential with cluster (50% open space); 1.0 dwelling unit per 3 acres, 1.2 dwelling units per 3 acres with ADU",TR3UBF
9,PDH6,2023,,ZMAP-2021-0008, ,2024/04/10 04:00:00+00,PDH6  2023,2024_0004,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/04/09 04:00:00+00,22542.63074,10701641.93,9,Planned Development Housing-6,Mixed use residential communities including single family and multifamily housing products with supportive non-residential uses. Maximum overall residential density of 6 units per acre.,PDH6
10,PDH4,2023,,ZMAP-1991-0005, ,1993/03/03 05:00:00+00,PDH4  2023,2023_0006,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2024/02/16 05:00:00+00,86801.8761,75371002.4,10,Planned Development Housing-4,Mixed use residential communities including single family and multifamily housing products with supportive non-residential uses. Maximum overall residential density of 4 units per acre.,PDH4
11,IP,2023,NV,ZRTD-2022-0005,,2023/06/20 04:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/04/09 04:00:00+00,2499.225953,350980.213,11,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
12,TR10,2023,, , ,1900/01/01 05:00:00+00,TR10  2023,2021_0028,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/02/25 05:00:00+00,69622.44122,69571485.79,12,Transitional Residential - 10,"Residential with cluster (70% open space); 1.0 dwelling unit per 10 acres, 1.2 dwelling units per 10 acres with ADU",TR10
13,TR3UBF,2023,NV,ZMAP-2012-0013,NO VALUE,2015/01/21 05:00:00+00,TR3UBF2023,,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/03/18 04:00:00+00,9653.756905,3733977.957,13,Transitional Residential - 3 (Upper Broad Run and Upper Foley),"Sub-district of TR3 without central utilities. Residential with cluster (50% open space); 1.0 dwelling unit per 3 acres, 1.2 dwelling units per 3 acres with ADU",TR3UBF
14,R1,2023,28, , ,1900/01/01 05:00:00+00,R1  2023,2012_0003,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/02/25 05:00:00+00,9518.612417,744085.4304,14,Single Family Residential-1,"Low-density single family detached development with a maximum density of 1 unit per 40,000 square feet; 1.2 unit per 40,000 square feet with ADU. Served by public water and sewer. Cluster and compact cluster options.",R1
15,AR1,2023,NV,ZMAP-2005-0042, ,2006/12/05 05:00:00+00,AR1  2023,2023_0003,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/04/11 04:00:00+00,1124537.685,6724959430,15,Agricultural Rural - 1,Rural business and residential uses: Base Density: 1.0 dwelling unit per 20 acres; Principal/Subordinate Subdivision: 1.0 dwelling unit per 10 acres; Cluster Subdivision: 1.0 dwelling unit per 5 acres,AR1
16,PDAAAR,2023,NV,ZMAP-2005-0020,0,2007/10/16 04:00:00+00,PDAAAR2023,2012_0003,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,19004.91279,11114907.33,16,Planned Development-Active Adult/Age Restricted,"Planned adult residential communities 55 years or older. Max 30 dwelling units per acre, 36 dwelling units per acre with ADU, public sewer and water, and are served by one or more major arterial or collector roads. Consistent with locations designated for high-density urban residential development.",PDAAAR
17,RC,2023,, , ,1900/01/01 05:00:00+00,RC  2023,2025_0003,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/02/18 05:00:00+00,4242.001081,867779.6219,17,Rural Commercial,Commercial properties predominantly located in rural Loudoun. Uses are compatible with scale and character of general open and rural character of Rural North & South Place Types.,RC
18,PDH4,2023,NV,ZMAP-2002-0011, ,2004/04/06 04:00:00+00,PDH4  2023,2012_0003,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/02/25 05:00:00+00,36481.77508,37241710.26,18,Planned Development Housing-4,Mixed use residential communities including single family and multifamily housing products with supportive non-residential uses. Maximum overall residential density of 4 units per acre.,PDH4
19,CR3,2023,, , ,1900/01/01 05:00:00+00,CR3  2023,2025_0003,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/02/18 05:00:00+00,11080.79312,4442388.963,19,Countryside Residential-3,"Residential development with a maximum density of 1 unit per 40,000 square feet with on-site well and wastewater. 1 unit per 15,000 square feet served by public water/sewer in cluster/complact cluster options.",CR3
20,PDH4,2023,,ZMAP-1984-0001,Z2001-0007,1984/04/16 04:00:00+00,PDH4  2023,2012_0003,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/02/19 05:00:00+00,9016.695858,2709530.14,20,Planned Development Housing-4,Mixed use residential communities including single family and multifamily housing products with supportive non-residential uses. Maximum overall residential density of 4 units per acre.,PDH4
21,PDH6,1972,,ZMAP-1975-0236,2015_0009,1900/01/01 05:00:00+00,PDH6  1972, ,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/02/19 05:00:00+00,8828.417898,3095526.397,21,Planned Development Housing-6,Mixed use residential communities including single family and multifamily housing products with supportive non-residential uses. Maximum overall residential density of 6 units per acre.,PDH6
22,PDH3,2023,, , ,1900/01/01 05:00:00+00,PDH3  2023,2023_0010,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,27561.13843,23580793.21,22,Planned Development Housing-3,Mixed use residential communities including single family and multifamily housing products with supportive non-residential uses. Maximum overall residential density of 3 units per acre.,PDH3
23,A10,2023,,ZMAP-1997-0011,Z2000-0002,1998/06/03 04:00:00+00,A10   2023,2012_0003,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,15207.9532,13333856.85,23,Agriculture,Agriculture and low density residential development with a maximum density of one unit per 10 acres. Rural hamlet options.,A10
24,A10,2023,,ZMAP-1998-0009,Z2000-0001,1900/01/01 05:00:00+00,A10   2023,2012_0003,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/04/11 04:00:00+00,13643.54904,9945514.466,24,Agriculture,Agriculture and low density residential development with a maximum density of one unit per 10 acres. Rural hamlet options.,A10
25,CCSC,2023,NONE,ZMAP-2021-0016,,2024/02/14 05:00:00+00,CCSC 2023,2025_0010,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/03/06 05:00:00+00,5466.881839,1218777.753,25,Commercial Center - Small Regional Center,"Small regional centers to meet shopping needs of a communitymore than a 10 minute drive from the center. Minimum of 18 acres, maximum of 60 acres. Controlled access to a major collector.",CCSC
26,PDH4,2023,NONE,ZMAP-2021-0020,,2025/01/22 05:00:00+00,PDH4  2023,2025_0002,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/02/04 05:00:00+00,5172.352985,1049950.671,26,Planned Development Housing-4,Mixed use residential communities including single family and multifamily housing products with supportive non-residential uses. Maximum overall residential density of 4 units per acre.,PDH4
27,R16,2023,,ZMAP-2022-0013,,2024/10/16 04:00:00+00,R16  2023,2024_0019,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2024/12/04 05:00:00+00,3827.520632,867296.2909,27,Townhouse/Multifamily Residential-16,Single family attached/detached and multifamily residences at a maximum density of 16 units per acre; 19.2 units per acre with ADU. Served by public water and sewer. In areas designated for infill development. Traditional design option.,R16
28,IP,2023,NONE,ZMAP-2022-0022,,2024/10/16 04:00:00+00,IP 2023,2024_0018,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2024/12/04 05:00:00+00,3460.794221,508392.058,28,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
29,R16,2023,NV,ZMAP-2020-0002,,2021/11/16 05:00:00+00,R16  2023,2021_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2024/12/11 05:00:00+00,3628.639247,708478.0429,29,Townhouse/Multifamily Residential-16,Single family attached/detached and multifamily residences at a maximum density of 16 units per acre; 19.2 units per acre with ADU. Served by public water and sewer. In areas designated for infill development. Traditional design option.,R16
30,OP,2023,NV,ZMAP-2013-0005,22,2015/05/20 04:00:00+00,OP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/02/04 05:00:00+00,19108.58208,2839108.997,30,Office Park,"District for administrative, business and professional offices research and development, and supporting commercial and instibutional uses and facilities; support limited first floor retail.",OP
31,JLMA3,2023,NV,,22,1900/01/02 05:00:00+00,JLMA3 2023,2020_0017,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/02/04 05:00:00+00,17907.15728,1958026.37,31,Joint Land Management Area-3,Appropriate mix of residential & non-residential uses with a variety of dwelling units & lot sizes; 1.0 dwelling unit per 3 acres. or 1.2 dwelling units per 3 acres. with ADU,JLMA3
32,IP,2023,NV,ZMAP-2008-0009,,2008/10/21 04:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/01/31 05:00:00+00,6773.783424,134860.5851,32,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
33,JLMA20,2023,, , ,1900/01/01 05:00:00+00,JLMA202023,2022_0007,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,52324.8674,17164172.54,33,Joint Land Management Area-20,Rural business and residential uses compatable with Leesburg Executive Airport (no cluster option); 1.0 dwelling unit per 20 acres,JLMA20
34,OP,2023,NV,ZMAP-2003-0008, ,2005/07/19 04:00:00+00,OP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,8197.646571,920319.7571,34,Office Park,"District for administrative, business and professional offices research and development, and supporting commercial and instibutional uses and facilities; support limited first floor retail.",OP
35,IP,2023,, , ,1900/01/01 05:00:00+00,IP 2023,2024_0017,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2024/12/04 05:00:00+00,7977.090498,3398230.279,35,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
36,OP,2023,NV,ZMAP-1997-0009, ,2004/12/21 05:00:00+00,OP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2024/12/11 05:00:00+00,16401.92667,1728011.415,36,Office Park,"District for administrative, business and professional offices research and development, and supporting commercial and instibutional uses and facilities; support limited first floor retail.",OP
37,R16,2023,,ZMAP-2005-0003, ,2006/02/21 05:00:00+00,R16  2023,2012_0003,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,3975.445942,805504.5924,37,Townhouse/Multifamily Residential-16,Single family attached/detached and multifamily residences at a maximum density of 16 units per acre; 19.2 units per acre with ADU. Served by public water and sewer. In areas designated for infill development. Traditional design option.,R16
38,R16,2023,,ZMAP-2022-0003,,2024/07/02 04:00:00+00,R16  2023,2024_0012,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2024/07/08 04:00:00+00,3544.194033,809133.0821,38,Townhouse/Multifamily Residential-16,Single family attached/detached and multifamily residences at a maximum density of 16 units per acre; 19.2 units per acre with ADU. Served by public water and sewer. In areas designated for infill development. Traditional design option.,R16
39,R8,2023,,ZMAP-2022-0003, ,2024/07/02 04:00:00+00,R8  2023,2024_0012,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2024/07/08 04:00:00+00,5068.400707,1353217.808,39,Single Family Residential-8,"Moderate to medium density single family detached, duplex, townhouse, and single family attached development with a maximum density of 8 units per acre, 9.6 units per acre with ADU. Served by public water and sewer. Traditional and suburban design options.",R8
40,R4,2023,NONE,ZMAP-2022-0006,,2024/07/02 04:00:00+00,R4  2023,2024_0011,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2024/07/08 04:00:00+00,9856.504249,3562797.948,40,Single Family Residential-4,"Moderate density single family detached development with a maximum density of 1 unit per 10,000 square feet, 4.8 units per acre with ADU. Served by public water and sewer. Cluster, suburban, and traditional design and compact cluster options.",R4
41,IP,2023,NV,ZRTD-2022-0008,,2024/06/12 04:00:00+00,IP 2023,2024_0010,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2024/07/05 04:00:00+00,1077.65272,65546.46953,41,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
42,R24,2023,NV,ZMAP-2019-0013,,2022/02/15 05:00:00+00,R4  2023,2022_0004,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,2962.611545,334008.3528,42,Multifamily Residential-24,"Multifamily residences at a maximum density of 24 dwelling units per acre, 28.8 dwelling units per acre with ADU. Served by public water and sewer. In areas designated for infill development.",R24
43,PDH4,2023,,ZMAP-2022-0019, ,2024/05/15 04:00:00+00,PDH4  2023,2024_0008,2024/05/16 04:00:00+00,2024/05/16 04:00:00+00,2024/05/16 04:00:00+00,7201.492057,1156441.464,43,Planned Development Housing-4,Mixed use residential communities including single family and multifamily housing products with supportive non-residential uses. Maximum overall residential density of 4 units per acre.,PDH4
44,IP,2023,,ZMAP-2022-0021, ,2024/04/10 04:00:00+00,IP 2023,2024_0005,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2024/04/16 04:00:00+00,9942.144643,4837369.382,44,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
45,GI,2023,,ZMAP-2022-0020,,2023/11/15 05:00:00+00,GI 2023,2024_0002,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2024/03/26 04:00:00+00,2705.550634,383963.0925,45,General Industry,District for industrial uses that are incompatible with residential uses due to the prevelance of outdoor storage and emissions of noise and odor. ,GI
46,R16,2023,NV,ZMAP-2021-0024,NO VALUE,2023/12/13 05:00:00+00,R16  2023,2023_031,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/14 05:00:00+00,2510.881642,401190.2906,46,Townhouse/Multifamily Residential-16,Single family attached/detached and multifamily residences at a maximum density of 16 units per acre; 19.2 units per acre with ADU. Served by public water and sewer. In areas designated for infill development. Traditional design option.,R16
47,TC,2023,NV,ZMAP-2022-0015,NO VALUE,2023/12/13 05:00:00+00,TC 2023,2023_030,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/14 05:00:00+00,5413.885328,1408506.302,47,Town Center,"A district established to provide for a compatible mixture of commercial, cultural, institutional, governmental, and residential uses in compact pedestrian oriented, traditional town centers, in areas consistent with the General Plan & serving as focal points for substantial residential areas.",TC
48,R24,2023,NV,ZMAP-2022-0014,12,2023/11/15 05:00:00+00,R4  2023,2023_0025,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,5990.100828,841472.0537,48,Multifamily Residential-24,"Multifamily residences at a maximum density of 24 dwelling units per acre, 28.8 dwelling units per acre with ADU. Served by public water and sewer. In areas designated for infill development.",R24
49,CCSC,2023,NV,ZMAP-2016-0017,,2017/12/05 05:00:00+00,CCSC 2023,2022_0015,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,5836.829031,358434.1974,49,Commercial Center - Small Regional Center,"Small regional centers to meet shopping needs of a communitymore than a 10 minute drive from the center. Minimum of 18 acres, maximum of 60 acres. Controlled access to a major collector.",CCSC
50,R24,2023,NV,ZMAP-2022-0016,,2023/11/15 05:00:00+00,R4  2023,2023_0026,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,9599.561143,1238941.475,50,Multifamily Residential-24,"Multifamily residences at a maximum density of 24 dwelling units per acre, 28.8 dwelling units per acre with ADU. Served by public water and sewer. In areas designated for infill development.",R24
51,R24,2023,NV,ZMAP-2021-0010,NO VALUE,2023/11/15 05:00:00+00,R4  2023,2023_0024,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,4395.101988,870909.272,51,Multifamily Residential-24,"Multifamily residences at a maximum density of 24 dwelling units per acre, 28.8 dwelling units per acre with ADU. Served by public water and sewer. In areas designated for infill development.",R24
52,A3,2023,NV, , ,1900/01/01 05:00:00+00,A3   2023,2022_0001,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,17491.78184,6773256.032,52,Agricultural/Residential,Agriculture and low density residential development with a maximum density of one unit per 3 acres with a predominantly agricultural character. Rural hamlet options.,A3
53,R16,2023,NONE,ZMAP-2022-0005,NO VALUE,2023/10/11 04:00:00+00,R16  2023,2023_0022,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,3119.145894,483137.2233,53,Townhouse/Multifamily Residential-16,Single family attached/detached and multifamily residences at a maximum density of 16 units per acre; 19.2 units per acre with ADU. Served by public water and sewer. In areas designated for infill development. Traditional design option.,R16
54,IP,2023,28,ZRTD-2022-0006,NO VALUE,2023/09/13 04:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,4835.673385,1417059.947,54,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
55,R8,2023,NV,ZMAP-2022-0004,NO VALUE,2023/09/13 04:00:00+00,R8  2023,2023_0020,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,2885.041659,421982.2095,55,Single Family Residential-8,"Moderate to medium density single family detached, duplex, townhouse, and single family attached development with a maximum density of 8 units per acre, 9.6 units per acre with ADU. Served by public water and sewer. Traditional and suburban design options.",R8
56,IP,2023,28,ZRTD-2023-0001,NO VALUE,2023/09/13 04:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,2998.255593,426849.6688,56,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
57,IP,2023,NV,ZRTD-2022-0004,,2023/06/20 04:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,2882.651385,382763.5416,57,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
58,IP,2023,28,ZRTD-2022-0001,,2023/06/06 04:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,5856.20304,1876681.101,58,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
59,TC,2023,NV,ZMAP-2021-0003,,2023/05/16 04:00:00+00,TC 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,8226.006205,3452902.959,59,Town Center,"A district established to provide for a compatible mixture of commercial, cultural, institutional, governmental, and residential uses in compact pedestrian oriented, traditional town centers, in areas consistent with the General Plan & serving as focal points for substantial residential areas.",TC
60,PDRDP,1972,NV,ZMAP-1985-0009, ,1989/02/06 05:00:00+00,PDRDP 1972, ,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,1900/01/01 05:00:00+00,909.434739,34379.6429,60,Planned Development-Research and Development Park,"Planned mixed employment park a mininum of 20 acres in size & within the Rt 28 Tax District, subject to an adopted concept development plan, which allows the mixing of research and development firms, office complexes, certain types of manufacturing and interrelated land uses. This Zoning District is found under the 1972 Zoning Ordinance.",PDRDP
61,TC,2023,NV,ZMAP-2008-0018,193,2011/03/15 04:00:00+00,TC 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,3849.394279,215207.3499,61,Town Center,"A district established to provide for a compatible mixture of commercial, cultural, institutional, governmental, and residential uses in compact pedestrian oriented, traditional town centers, in areas consistent with the General Plan & serving as focal points for substantial residential areas.",TC
62,OP,2023,NV,ZMAP-2008-0018,193,2011/03/15 04:00:00+00,OP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,1887.206733,100137.9573,62,Office Park,"District for administrative, business and professional offices research and development, and supporting commercial and instibutional uses and facilities; support limited first floor retail.",OP
63,IP,2023,NV,ZMAP-2021-0018,,2023/04/18 04:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,4828.888567,1072598.473,63,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
64,R24,2023,NONE,ZMAP-2021-0022,,2023/04/18 04:00:00+00,R4  2023,2023-0013,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,6674.225562,938889.3947,64,Multifamily Residential-24,"Multifamily residences at a maximum density of 24 dwelling units per acre, 28.8 dwelling units per acre with ADU. Served by public water and sewer. In areas designated for infill development.",R24
65,IP,2023,28,ZRTD-2021-0010,,2023/04/04 04:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,2920.585154,167782.8882,65,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
66,IP,2023,28,ZMAP-2022-0007,,2023/03/21 04:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,3875.168325,812967.0767,66,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
67,PDH3,2023,NV,ZMAP-0000-0259,,1978/04/17 04:00:00+00,PDH3  2023,2023_0010,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,3362.405871,696946.6846,67,Planned Development Housing-3,Mixed use residential communities including single family and multifamily housing products with supportive non-residential uses. Maximum overall residential density of 3 units per acre.,PDH3
68,CCSC,2023,NV,ZMAP-2022-0009,,2023/02/15 05:00:00+00,CCSC 2023,2023_0004,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,1103.712369,66769.96729,68,Commercial Center - Small Regional Center,"Small regional centers to meet shopping needs of a communitymore than a 10 minute drive from the center. Minimum of 18 acres, maximum of 60 acres. Controlled access to a major collector.",CCSC
69,TOWNS,2023,NV,,,1900/01/02 05:00:00+00,TOWNS 2023,2023_0003,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,19006.96239,5503892.583,69,Incorporated Towns,Districts zoned by the incorporated town and administered by the town.,TOWNS
70,R16,2023,NV,ZMAP-2021-0005,,2023/01/17 05:00:00+00,R16  2023,2023_0001,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,3064.644317,530057.8789,70,Townhouse/Multifamily Residential-16,Single family attached/detached and multifamily residences at a maximum density of 16 units per acre; 19.2 units per acre with ADU. Served by public water and sewer. In areas designated for infill development. Traditional design option.,R16
71,IP,2023,28,ZRTD-2020-0004,,2022/12/06 05:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,1151.585263,61703.34073,71,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
72,TC,2023,NONE,ZMAP-2021-0007,,2022/11/15 05:00:00+00,TC 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,2182.876253,211167.4318,72,Town Center,"A district established to provide for a compatible mixture of commercial, cultural, institutional, governmental, and residential uses in compact pedestrian oriented, traditional town centers, in areas consistent with the General Plan & serving as focal points for substantial residential areas.",TC
73,PDCCRC,2023,NV,ZMAP-2020-0007,,2021/10/05 04:00:00+00,PDCCRC2023,2021_0024,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,6823.146578,1545038.07,73,Planned Development-Commercial Center (Regional Center),"Large scale commercial centers which provide a wide range of retail, office, and service uses, with one or more anchor stores, to the regional market. Minimum of 60 acres with controlled access to arterial roads.",PDCCRC
74,R8,2023,NONE,ZMAP-2020-0012,NO VALUE,2022/09/06 04:00:00+00,R8  2023,2022_0030,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,2494.980293,272703.199,74,Single Family Residential-8,"Moderate to medium density single family detached, duplex, townhouse, and single family attached development with a maximum density of 8 units per acre, 9.6 units per acre with ADU. Served by public water and sewer. Traditional and suburban design options.",R8
