OBJECTID,PA_TYPE,PA_UNITS,PA_PLAT_NUM,PA_PLAT_LOT,PA_LEGAL_ACRE,PA_SUBD_NAME,PA_SUBD_PHASE,PA_SUBD_SECT,PA_SUBD_BLOCK,PA_LEGAL_SQFT,PA_UPD_DATE,PA_MCPI,SHAPE_Length,SHAPE_Area
273,P,0, , ,0.769,COUNTRYSIDE, ,1A, ,33541.2,,29486762000,914.2934402,33048.22943
274,P,0, , ,9, , , , ,392040,,5.30E+11,3442.548909,392282.9345
275,P,0, , ,0.4,COUNTRYSIDE, ,1A, ,17424,,29491626000,858.4851624,15499.0905
276,P,0, , ,1.029, , , , ,44866.8,,5.03E+11,1015.820649,43092.84443
277,P,0, , ,9.279,LAKE MARIAN ESTATES, , , ,404236.8,,4.46E+11,2897.039862,405335.5985
278,P,0, , ,5.28,LAKE MARIAN ESTATES, , , ,229996.8,,4.46E+11,1982.782183,230550.1759
279,P,0, , ,4.26, , , , ,185565.6,,1.97E+11,2788.644482,188790.2477
280,P,0, , ,12.359,KELLER DIVISION, , , ,538401.6,,6.52E+11,2999.810305,497174.8257
281,P,0, , ,3.269,LAKE MARIAN ESTATES, , , ,142441.2,,4.46E+11,1472.084299,141748.5933
282,P,0, , ,5,FRAZER HILL FARMETTE, , , ,217800,,6.52E+11,2259.621553,226389.0675
283,P,0, , ,76.58, , , , ,3335824.8,,3.19E+11,9268.316377,3356216.408
284,P,0, , ,8.909,HUTCHINSON DIVISION, , , ,388119.6,,3.26E+11,2725.923882,385865.0414
285,P,0, , ,5,FRAZER HILL FARMETTE, , , ,217800,,6.52E+11,1880.920681,210388.4785
286,P,0, , ,2.18, , , , ,94960.8,,3.19E+11,1431.052236,93151.00912
287,P,0, , ,26.489, , , , ,1153904.4,,3.19E+11,5364.619175,1174230.134
288,P,0, , ,33.819,HUTCHINSON DIVISION, , , ,1473199.2,,3.26E+11,5846.557048,1461311.284
289,P,0, , ,27,HUTCHINSON DIVISION, , , ,1176120,,3.26E+11,4531.0615,1169372.413
290,P,0, , ,10, , , , ,435600,,5.48E+11,4571.262731,443063.0711
291,P,0, , ,6.989,HUTCHINSON DIVISION, , , ,304484.4,,3.26E+11,2448.523171,301504.8644
292,B,0, , ,27.129,HUTCHINSON DIVISION, , , ,1181782.8,,3.27E+11,5224.755831,1158021.839
293,S,0, , ,32.359, , , , ,1470411.36,,5.78E+11,8006.056562,1409540.48
294,P,0, , ,5,FRAZER HILL FARMETTE, , , ,217800,,6.52E+11,2228.107694,216240.5325
295,P,0, , ,5.23, , , , ,227818.8,,5.78E+11,2238.965542,232584.3087
296,P,0, , ,5.23, , , , ,227818.8,,5.78E+11,2146.876626,230184.4163
297,P,0, , ,1.08,REDBUD ACRES, ,1, ,47044.8,,3.70E+11,977.2641139,48697.53172
298,P,0, , ,0.93,TOWN OF LOVETTSVILLE, , , ,40510.8,,3.70E+11,890.4163323,43638.15203
299,P,0, , ,1.029,REDBUD ACRES, ,1, ,44866.8,,3.70E+11,941.4555801,45317.0407
300,P,0, , ,0.28,HUFFMAN DIVISION, , , ,12196.8,,3.70E+11,458.244956,12466.80433
301,P,0, , ,0.05,TOWN OF LOVETTSVILLE, , , ,2178,,3.70E+11,1053.073491,19936.65594
302,P,0, , ,5.211, , , , ,227034.72,,5.78E+11,2134.101674,226397.8263
303,P,0, , ,0.6,TOWN OF LOVETTSVILLE, , , ,26136,,3.70E+11,1379.357506,23566.21493
304,P,0, , ,10.479,TOWN OF LOVETTSVILLE, , , ,456508.8,,3.70E+11,3556.779349,453515.8803
305,P,0, , ,1.039,REDBUD ACRES, ,1, ,45302.4,,3.70E+11,945.4437959,45688.05282
306,P,0, , ,15.17,KELLER DIVISION, , , ,660805.2,,6.65E+11,3367.310347,665949.2393
307,P,0, , ,0.839,TOWN OF LOVETTSVILLE, , , ,36590.4,,3.70E+11,843.3926462,36387.44395
308,P,0, , ,1.049,REDBUD ACRES, ,1, ,45738,,3.70E+11,956.5361525,45809.70678
309,P,0, , ,4.679, , , , ,203860.8,,3.71E+11,1957.466619,198540.5264
310,P,0, , ,10, , , , ,435600,,5.27E+11,3417.414729,448506.0182
311,P,0, , ,1.62, , , , ,70567.2,,1.78E+11,1110.570127,69859.57226
312,P,0, , ,0.46, , , , ,20037.6,,3.71E+11,559.7071711,18816.68955
313,P,0, , ,0.72, , , , ,31363.2,,3.71E+11,711.0367255,31248.34455
314,B,0, , ,1.019, , , , ,44431.2,,76292623000,823.3031523,42128.17655
315,P,0, , ,5, , , , ,217800,,2.97E+11,2617.17742,231104.7462
316,P,0, , ,6,SOUTHVIEW, ,1, ,261360,,3.52E+11,2122.823693,261194.0923
317,P,0, , ,13.75,WILLIAMS DIVISION, , , ,598950,,2.98E+11,3656.167017,669314.0434
318,P,0, , ,10.02,FAIRFARM INC DIVISION, , , ,436471.2,,3.52E+11,2756.341704,437983.5549
319,P,0, , ,3.47, , , , ,151153.2,,3.13E+11,1716.621442,154762.6297
320,P,0, , ,57.979, , , , ,2525608.8,,6.04E+11,7345.387815,2639257.499
321,P,0, , ,8.569, , , , ,373309.2,,3.13E+11,2376.997916,345652.6219
322,P,0, , ,10.18,FAIRFARM INC DIVISION, , , ,443440.8,,3.14E+11,3942.790869,455542.6529
323,P,0, , ,1.049,HERNDON SUBDIVISION, ,2, ,45738,,3.13E+11,1178.490055,45837.37708
324,P,0, , ,1.049,HERNDON SUBDIVISION, ,2, ,45738,,3.13E+11,1186.612839,48695.10178
325,P,0, , ,3, , , , ,130680,,4.48E+11,1521.877848,131052.6914
326,P,0, , ,50.74,COMPHER & JOHNSON, , , ,2210234.4,,6.04E+11,6186.216199,2243035.229
327,P,0, , ,1.059,HERNDON SUBDIVISION, ,2, ,46173.6,,3.13E+11,1100.998347,48137.73198
328,P,0, , ,1.039,HERNDON SUBDIVISION, ,2, ,45302.4,,3.13E+11,1170.782306,50156.01993
329,P,0, , ,30.27, , , , ,1318561.2,,5.50E+11,5214.260324,1257102.165
330,P,0, , ,4.079, , , , ,177724.8,,5.79E+11,2443.818649,174936.3911
331,P,0, , ,10.14,FAIRFARM INC DIVISION, , , ,441698.4,,3.14E+11,2835.272004,448764.5166
332,P,0, , ,0.09, , , , ,3920.4,,5.50E+11,261.9281347,4058.004337
333,P,0, , ,32.02,POSTON PLAT, , , ,1394791.2,,3.48E+11,6127.338189,1326511.254
334,P,0, , ,10.21,FAIRFARM INC DIVISION, , , ,444747.6,,3.14E+11,2709.397569,442881.0739
335,P,0, , ,2, , , , ,87120,,2.75E+11,1212.720579,86441.69547
336,P,0, , ,13.05,FAIRFARM INC DIVISION, , , ,568458,,3.14E+11,3085.484446,569042.551
337,P,0, , ,10.279,FAIRFARM INC DIVISION, , , ,447796.8,,3.14E+11,2689.934114,428133.7277
338,P,0, , ,10.67,FAIRFARM INC DIVISION, , , ,464785.2,,3.14E+11,2824.653341,481648.0047
339,P,0, , ,10.229,FAIRFARM INC DIVISION, , , ,445618.8,,3.14E+11,2497.190692,353487.1934
340,P,0, , ,10.039, , , , ,437342.4,,5.79E+11,2605.704041,457435.9447
341,P,0, , ,20, , , , ,871200,,6.05E+11,5678.113908,887835.9172
342,P,0, , ,13, , , , ,566280,,5.50E+11,2975.105843,569884.9085
343,P,0, , ,10.489,FAIRFARM INC DIVISION, , , ,456944.4,,3.14E+11,2917.460741,507786.2547
344,P,0, , ,10.06,LANDOLT DIVISION, , , ,438213.6,,3.48E+11,3118.962182,433120.5958
345,P,0, , ,50.74,COMPHER & JOHNSON, , , ,2210234.4,,6.04E+11,5973.542045,2186409.014
346,P,0, , ,0.27,TOWN OF WATERFORD, , , ,11761.2,,3.03E+11,443.6907948,11997.72624
347,P,0, , ,0.889, , , , ,38768.4,,5.79E+11,949.1452657,35561.0419
348,P,0, , ,0.029,TOWN OF WATERFORD, , , ,1306.8,,3.03E+11,202.9146517,1165.572147
349,P,0, , ,1.549, , , , ,67518,,1.78E+11,1098.468312,66241.44473
350,P,0, , ,0.059, , , , ,2613.6,,1.85E+11,371.1509974,2548.428349
351,P,0, , ,10, , , , ,435600,,5.50E+11,2784.852245,439432.3627
352,P,0, , ,3, , , , ,130680,,3.48E+11,1474.351304,130991.5999
